日期,機台編號,班別,工單號,產出數量,報廢數,停機時數,停機原因,操作員工號,備註
0629,四號機,早班,WO2606294,178,3,0.5,其他,OP-105,
0608,CNC02,早班,WO2606082,205,4,1.2,換線,OP-132,
0617,三號機,早班,WO2606173,200,5,3.3,其他,OP-123,
6月1日,一號機,夜班,WO2606011,201,5,0.6,其他,OP-139,
6月3日,cnc 4,夜班,WO2606034,227,6,1.0,其他,OP-140,
2026/6/20,二號機,早班,WO2606202,228,3,0.6,未填,OP-112,
2026/6/20,cnc 4,夜班,WO2606204,189,11,0.3,未填,OP-115,
2026/6/21,四號機,夜班,WO2606214,177,6,1.7,其他,OP-133,
2026/6/8,cnc 1,夜班,WO2606081,224,8,1.4,其他,OP-146,
6月22日,四號機,早班,WO2606224,193,6,0.4,未填,OP-112,
6月18日,cnc 5,早班,WO2606185,237,4,0.3,待料,OP-114,含報廢
6月7日,四號機,夜班,WO2606074,177,9,0.6,換線,OP-143,
0619,cnc 3,早班,WO2606193,192,4,3.4,未填,OP-122,
0607,六號機,早班,WO2606076,176,2,1.2,定期保養,OP-138,
0607,一號機,夜班,WO2606071,229,10,1.8,其他,OP-112,含報廢
2026/6/29,一號機,夜班,WO2606291,242,16,1.1,其他,OP-114,
2026/6/15,四號機,夜班,WO2606154,209,7,1.7,未填,OP-120,
0612,CNC01,夜班,WO2606121,212,8,0.9,未填,OP-114,含報廢
2026/6/22,cnc 2,早班,WO2606222,218,4,0.7,其他,OP-108,
2026/6/9,cnc 5,早班,WO2606095,230,6,0.6,換線,OP-125,含報廢
0621,cnc 2,夜班,WO2606212,197,8,1.6,未填,OP-139,
6月22日,六號機,夜班,WO2606226,183,5,0.7,機台故障,OP-117,
0628,cnc 5,早班,WO2606285,205,5,1.1,未填,OP-130,
0601,CNC04,早班,WO2606014,173,4,1.5,未填,OP-130,含報廢
2026/6/26,cnc 3,夜班,WO2606263,182,7,3.3,未填,OP-117,
0619,cnc 4,早班,WO2606194,217,5,1.5,定期保養,OP-140,
0610,cnc 3,夜班,WO2606103,198,12,3.6,未填,OP-111,
0630,cnc 3,早班,WO2606303,195,6,3.5,刀具更換,OP-143,
6月13日,cnc 3,夜班,WO2606133,197,8,3.6,未填,OP-127,含報廢
0611,二號機,夜班,WO2606112,203,7,0.4,待料,OP-136,
6月23日,cnc 5,早班,WO2606235,220,7,0.9,未填,OP-147,
0601,CNC05,夜班,WO2606015,177,10,0.4,未填,OP-137,
0603,cnc 1,夜班,WO2606031,189,5,0.5,未填,OP-130,
6月21日,CNC04,早班,WO2606214,229,7,0.9,定期保養,OP-113,
