日期,機台編號,班別,工單號,產出數量,報廢數,停機時數,停機原因,操作員工號,備註
2026-06-29,CNC04,早班,WO2606294,178,3,0.5,其他,OP-105,
2026-06-08,CNC02,早班,WO2606082,205,4,1.2,換線,OP-132,
2026-06-17,CNC03,早班,WO2606173,200,5,3.3,其他,OP-123,
2026-06-01,CNC01,夜班,WO2606011,201,5,0.6,其他,OP-139,
2026-06-03,CNC04,夜班,WO2606034,227,6,1.0,其他,OP-140,
2026-06-20,CNC02,早班,WO2606202,228,3,0.6,未填,OP-112,
2026-06-20,CNC04,夜班,WO2606204,189,11,0.3,未填,OP-115,
2026-06-21,CNC04,夜班,WO2606214,177,6,1.7,其他,OP-133,
2026-06-08,CNC01,夜班,WO2606081,224,8,1.4,其他,OP-146,
2026-06-22,CNC04,早班,WO2606224,193,6,0.4,未填,OP-112,
2026-06-18,CNC05,早班,WO2606185,237,4,0.3,待料,OP-114,含報廢
2026-06-07,CNC04,夜班,WO2606074,177,9,0.6,換線,OP-143,
2026-06-19,CNC03,早班,WO2606193,192,4,3.4,未填,OP-122,
2026-06-07,CNC06,早班,WO2606076,176,2,1.2,定期保養,OP-138,
2026-06-07,CNC01,夜班,WO2606071,229,10,1.8,其他,OP-112,含報廢
2026-06-29,CNC01,夜班,WO2606291,242,16,1.1,其他,OP-114,
2026-06-15,CNC04,夜班,WO2606154,209,7,1.7,未填,OP-120,
2026-06-12,CNC01,夜班,WO2606121,212,8,0.9,未填,OP-114,含報廢
2026-06-22,CNC02,早班,WO2606222,218,4,0.7,其他,OP-108,
2026-06-09,CNC05,早班,WO2606095,230,6,0.6,換線,OP-125,含報廢
2026-06-21,CNC02,夜班,WO2606212,197,8,1.6,未填,OP-139,
2026-06-22,CNC06,夜班,WO2606226,183,5,0.7,機台故障,OP-117,
2026-06-28,CNC05,早班,WO2606285,205,5,1.1,未填,OP-130,
2026-06-01,CNC04,早班,WO2606014,173,4,1.5,未填,OP-130,含報廢
2026-06-26,CNC03,夜班,WO2606263,182,7,3.3,未填,OP-117,
2026-06-19,CNC04,早班,WO2606194,217,5,1.5,定期保養,OP-140,
2026-06-10,CNC03,夜班,WO2606103,198,12,3.6,未填,OP-111,
2026-06-30,CNC03,早班,WO2606303,195,6,3.5,刀具更換,OP-143,
2026-06-13,CNC03,夜班,WO2606133,197,8,3.6,未填,OP-127,含報廢
2026-06-11,CNC02,夜班,WO2606112,203,7,0.4,待料,OP-136,
2026-06-23,CNC05,早班,WO2606235,220,7,0.9,未填,OP-147,
2026-06-01,CNC05,夜班,WO2606015,177,10,0.4,未填,OP-137,
2026-06-03,CNC01,夜班,WO2606031,189,5,0.5,未填,OP-130,
2026-06-21,CNC04,早班,WO2606214,229,7,0.9,定期保養,OP-113,
2026-06-21,CNC06,夜班,WO2606216,196,13,0.5,其他,OP-101,
2026-06-23,CNC06,夜班,WO2606236,182,7,1.6,未填,OP-141,
2026-06-10,CNC05,夜班,WO2606105,213,12,0.4,其他,OP-143,
2026-06-04,CNC05,早班,WO2606045,184,3,0.8,刀具更換,OP-109,
2026-06-28,CNC04,早班,WO2606284,235,7,0.6,其他,OP-118,
2026-06-19,CNC03,夜班,WO2606193,174,6,4.8,未填,OP-114,
2026-06-28,CNC03,夜班,WO2606283,170,9,3.0,其他,OP-103,含報廢
2026-06-21,CNC01,早班,WO2606211,218,4,0.3,未填,OP-126,
2026-06-17,CNC01,夜班,WO2606171,231,12,0.8,未填,OP-148,
2026-06-09,CNC06,夜班,WO2606096,181,6,1.2,其他,OP-137,
2026-06-02,CNC01,夜班,WO2606021,187,7,0.5,未填,OP-143,含報廢
2026-06-12,CNC05,早班,WO2606125,197,4,1.8,未填,OP-127,含報廢
2026-06-18,CNC05,夜班,WO2606185,224,9,1.3,其他,OP-109,
2026-06-11,CNC01,早班,WO2606111,191,3,1.6,未填,OP-102,
2026-06-16,CNC06,早班,WO2606166,187,5,1.4,未填,OP-110,含報廢
2026-06-10,CNC06,早班,WO2606106,181,4,0.5,待料,OP-110,
2026-06-08,CNC02,夜班,WO2606082,243,14,0.9,其他,OP-140,含報廢
2026-06-06,CNC02,夜班,WO2606062,225,12,1.1,刀具更換,OP-133,
2026-06-16,CNC02,早班,WO2606162,209,4,1.3,其他,OP-126,
2026-06-06,CNC04,夜班,WO2606064,219,11,1.8,未填,OP-136,
2026-06-26,CNC04,早班,WO2606264,205,5,0.8,未填,OP-105,含報廢
2026-06-15,CNC05,夜班,WO2606155,217,8,0.8,其他,OP-106,
2026-06-25,CNC04,早班,WO2606254,222,3,1.3,未填,OP-101,
2026-06-10,CNC01,早班,WO2606101,204,4,0.3,未填,OP-147,
2026-06-09,CNC01,早班,WO2606091,212,4,0.4,其他,OP-126,
2026-06-21,CNC06,早班,WO2606216,213,3,0.5,未填,OP-145,含報廢
2026-06-13,CNC01,夜班,WO2606131,175,8,1.8,品質異常調機,OP-115,
2026-06-24,CNC04,夜班,WO2606244,187,10,1.4,其他,OP-130,含報廢
2026-06-18,CNC03,夜班,WO2606183,153,9,4.1,未填,OP-120,
2026-06-25,CNC06,早班,WO2606256,232,5,0.4,機台故障,OP-140,
2026-06-09,CNC04,夜班,WO2606094,199,9,0.4,未填,OP-104,含報廢
2026-06-15,CNC01,早班,WO2606151,189,4,0.4,其他,OP-124,
2026-06-03,CNC05,早班,WO2606035,194,5,0.2,其他,OP-105,
2026-06-01,CNC04,夜班,WO2606014,189,9,1.1,未填,OP-138,
2026-06-27,CNC02,夜班,WO2606272,216,11,1.1,未填,OP-104,
2026-06-07,CNC05,夜班,WO2606075,180,4,1.1,未填,OP-117,
2026-06-14,CNC06,夜班,WO2606146,223,12,1.2,未填,OP-113,
2026-06-03,CNC03,夜班,WO2606033,193,5,3.7,定期保養,OP-133,
2026-06-20,CNC06,夜班,WO2606206,224,11,1.5,其他,OP-143,
2026-06-15,CNC03,早班,WO2606153,190,2,3.3,其他,OP-127,
2026-06-10,CNC06,夜班,WO2606106,221,9,1.7,刀具更換,OP-105,
2026-06-02,CNC05,夜班,WO2606025,239,12,0.8,其他,OP-115,
2026-06-13,CNC04,夜班,WO2606134,179,6,1.7,刀具更換,OP-118,
2026-06-20,CNC01,夜班,WO2606201,226,9,0.5,其他,OP-123,
2026-06-24,CNC02,早班,WO2606242,221,7,1.4,刀具更換,OP-126,
2026-06-01,CNC05,早班,WO2606015,201,3,1.8,其他,OP-105,
2026-06-21,CNC05,夜班,WO2606215,188,10,0.9,未填,OP-112,
2026-06-28,CNC03,早班,WO2606283,187,5,3.5,未填,OP-125,
2026-06-15,CNC05,早班,WO2606155,201,3,1.5,其他,OP-118,
2026-06-11,CNC05,早班,WO2606115,187,3,1.0,定期保養,OP-143,
2026-06-03,CNC06,早班,WO2606036,206,3,1.2,未填,OP-138,
2026-06-24,CNC05,夜班,WO2606245,225,9,0.6,未填,OP-111,
2026-06-15,CNC03,夜班,WO2606153,181,12,3.9,其他,OP-140,
2026-06-08,CNC05,夜班,WO2606085,228,11,1.3,未填,OP-120,含報廢
2026-06-17,CNC06,早班,WO2606176,191,3,0.9,未填,OP-146,
2026-06-04,CNC04,夜班,WO2606044,205,6,0.3,定期保養,OP-147,
2026-06-15,CNC02,早班,WO2606152,173,3,1.2,未填,OP-112,
2026-06-04,CNC03,夜班,WO2606043,202,8,3.5,機台故障,OP-140,
2026-06-17,CNC02,夜班,WO2606172,224,9,0.3,未填,OP-142,
2026-06-17,CNC04,夜班,WO2606174,231,8,1.4,未填,OP-131,
2026-06-12,CNC06,早班,WO2606126,188,4,0.3,品質異常調機,OP-142,
2026-06-28,CNC06,夜班,WO2606286,200,13,1.5,未填,OP-125,
2026-06-20,CNC04,早班,WO2606204,207,3,1.2,其他,OP-124,
2026-06-11,CNC03,夜班,WO2606113,164,7,3.3,其他,OP-144,
2026-06-19,CNC01,夜班,WO2606191,218,12,1.8,其他,OP-113,
2026-06-08,CNC04,夜班,WO2606084,217,9,1.3,未填,OP-113,
2026-06-16,CNC01,早班,WO2606161,208,6,0.7,未填,OP-103,
2026-06-16,CNC04,夜班,WO2606164,170,8,1.6,未填,OP-146,
2026-06-06,CNC01,早班,WO2606061,194,4,0.7,其他,OP-102,
2026-06-11,CNC04,夜班,WO2606114,182,11,1.5,其他,OP-114,
2026-06-19,CNC06,夜班,WO2606196,206,7,0.7,其他,OP-132,
2026-06-03,CNC05,夜班,WO2606035,215,11,1.4,未填,OP-126,含報廢
2026-06-24,CNC06,早班,WO2606246,214,5,0.7,未填,OP-130,
2026-06-21,CNC03,早班,WO2606213,159,2,3.7,未填,OP-143,
2026-06-19,CNC05,早班,WO2606195,203,3,1.5,未填,OP-143,
2026-06-26,CNC05,早班,WO2606265,190,5,1.0,其他,OP-111,
2026-06-27,CNC02,早班,WO2606272,205,4,1.5,未填,OP-146,
2026-06-26,CNC04,夜班,WO2606264,223,13,1.6,刀具更換,OP-129,
2026-06-20,CNC03,夜班,WO2606203,186,8,4.3,未填,OP-128,
2026-06-15,CNC06,早班,WO2606156,172,4,1.1,機台故障,OP-116,
2026-06-16,CNC04,早班,WO2606164,216,3,0.4,未填,OP-108,含報廢
2026-06-16,CNC05,夜班,WO2606165,181,10,0.4,其他,OP-108,
2026-06-05,CNC05,早班,WO2606055,174,3,1.6,其他,OP-132,
2026-06-02,CNC03,早班,WO2606023,158,2,4.7,未填,OP-120,
2026-06-23,CNC05,夜班,WO2606235,199,10,0.9,其他,OP-111,
2026-06-25,CNC02,夜班,WO2606252,174,7,1.8,品質異常調機,OP-142,
2026-06-22,CNC05,早班,WO2606225,180,5,1.6,其他,OP-124,含報廢
2026-06-30,CNC05,夜班,WO2606305,184,6,1.0,其他,OP-139,
2026-06-11,CNC03,早班,WO2606113,197,5,3.3,未填,OP-139,
2026-06-09,CNC02,早班,WO2606092,185,2,0.7,其他,OP-134,
2026-06-13,CNC05,夜班,WO2606135,187,10,1.2,未填,OP-105,
2026-06-23,CNC03,夜班,WO2606233,161,8,4.0,其他,OP-142,
2026-06-29,CNC01,早班,WO2606291,191,6,0.5,其他,OP-139,
2026-06-29,CNC04,夜班,WO2606294,218,17,1.5,未填,OP-131,
2026-06-06,CNC05,早班,WO2606065,202,5,0.3,未填,OP-132,
2026-06-02,CNC04,夜班,WO2606024,226,7,1.1,其他,OP-111,
2026-06-08,CNC05,夜班,WO2606085,228,11,1.3,未填,OP-120,含報廢
2026-06-15,CNC04,早班,WO2606154,225,6,0.8,未填,OP-128,
2026-06-04,CNC06,夜班,WO2606046,209,5,1.3,未填,OP-133,
2026-06-03,CNC02,早班,WO2606032,189,3,0.9,其他,OP-135,
2026-06-13,CNC02,早班,WO2606132,184,4,1.5,未填,OP-118,
2026-06-03,CNC04,早班,WO2606034,200,3,0.7,未填,OP-115,
2026-06-14,CNC01,夜班,WO2606141,246,11,0.4,未填,OP-137,
2026-06-11,CNC01,夜班,WO2606111,171,10,1.6,未填,OP-103,
2026-06-14,CNC05,夜班,WO2606145,184,11,0.5,未填,OP-102,
2026-06-13,CNC01,早班,WO2606131,225,4,1.2,機台故障,OP-134,
2026-06-15,CNC01,夜班,WO2606151,225,12,0.9,未填,OP-143,
2026-06-24,CNC01,夜班,WO2606241,198,6,0.4,機台故障,OP-105,
2026-06-04,CNC02,夜班,WO2606042,231,10,0.3,定期保養,OP-120,
2026-06-16,CNC01,夜班,WO2606161,204,11,0.9,其他,OP-148,
2026-06-12,CNC04,早班,WO2606124,203,3,1.3,未填,OP-128,
2026-06-23,CNC04,夜班,WO2606234,177,8,0.4,未填,OP-103,
2026-06-12,CNC05,夜班,WO2606125,197,12,1.6,待料,OP-147,
2026-06-27,CNC05,夜班,WO2606275,190,6,1.0,其他,OP-104,
2026-06-28,CNC04,夜班,WO2606284,235,15,0.7,未填,OP-123,含報廢
2026-06-10,CNC02,早班,WO2606102,233,6,0.4,定期保養,OP-124,
2026-06-16,CNC06,夜班,WO2606166,179,10,1.1,未填,OP-131,
2026-06-13,CNC06,早班,WO2606136,169,3,1.7,刀具更換,OP-103,
2026-06-12,CNC03,早班,WO2606123,213,4,3.0,未填,OP-130,
2026-06-02,CNC02,早班,WO2606022,225,5,0.3,未填,OP-116,
2026-06-30,CNC04,夜班,WO2606304,180,8,0.9,未填,OP-103,
2026-06-09,CNC03,早班,WO2606093,208,3,2.7,其他,OP-129,
2026-06-06,CNC04,早班,WO2606064,178,4,0.5,未填,OP-106,
2026-06-12,CNC04,夜班,WO2606124,185,5,0.9,其他,OP-106,
2026-06-16,CNC05,早班,WO2606165,177,3,0.6,未填,OP-147,
2026-06-26,CNC01,早班,WO2606261,214,4,0.7,換線,OP-142,含報廢
2026-06-28,CNC01,夜班,WO2606281,188,8,1.2,定期保養,OP-109,
2026-06-05,CNC01,早班,WO2606051,196,3,0.6,未填,OP-128,
2026-06-14,CNC03,夜班,WO2606143,170,9,3.3,未填,OP-148,
2026-06-17,CNC01,早班,WO2606171,209,3,0.2,刀具更換,OP-137,
2026-06-30,CNC05,夜班,WO2606305,184,6,1.0,其他,OP-139,
2026-06-27,CNC05,早班,WO2606275,225,4,1.3,換線,OP-140,
2026-06-06,CNC03,夜班,WO2606063,208,5,2.2,未填,OP-118,含報廢
2026-06-20,CNC05,早班,WO2606205,177,3,1.3,其他,OP-136,
2026-06-01,CNC01,早班,WO2606011,201,4,0.3,未填,OP-148,
2026-06-13,CNC05,早班,WO2606135,188,2,1.2,未填,OP-130,
2026-06-23,CNC03,早班,WO2606233,188,4,3.9,其他,OP-118,
2026-06-12,CNC01,早班,WO2606121,197,3,1.2,未填,OP-127,
2026-06-06,CNC03,早班,WO2606063,194,3,4.1,未填,OP-139,
