編號,部門,資料名稱,資料類型,格式,存放位置,負責人,更新頻率,已知問題
D01,研發,BOM 表,結構化,Excel,ERP 系統,,,
D02,研發,車架規格參數,結構化,Excel,共用資料夾\研發\規格,,,
D03,研發,客戶規格書,非結構化,PDF,共用資料夾\研發\客戶文件,,,
D04,研發,測試報告,非結構化,PDF,共用資料夾\研發\測試,,,
D05,研發,設計圖面,非結構化,DWG,圖檔伺服器,,,
D06,研發,專利檢索紀錄,非結構化,Word,林工程師的電腦桌面,,,
D07,製造,工單,結構化,ERP,ERP 系統,,,
D08,製造,生產日報,結構化,CSV,共用資料夾\生管\日報,,,
D09,製造,稼動紀錄,結構化,Excel,共用資料夾\生管,,,
D10,製造,換線時間紀錄,結構化,—,未收集,,,
D11,製造,焊接作業標準 SOP,非結構化,Word,共用資料夾\製造\SOP_最終版勿改,,,
D12,製造,交接班記錄,非結構化,紙本,現場鐵夾,,,
D13,製造,機台異常照片,非結構化,JPG,班長手機,,,
D14,品保,檢驗數據,結構化,Excel,共用資料夾\品保,,,
D15,品保,不良率統計,結構化,Excel,共用資料夾\品保\統計,,,
D16,品保,日報表,結構化,Excel,共用資料夾\品保\日報,,,
D17,品保,瑕疵照片,非結構化,JPG,品保課共用電腦,,,
D18,品保,8D 報告,非結構化,Word,共用資料夾\品保\8D,,,
D19,品保,客訴信件,非結構化,Email,品保信箱,,,
D20,營運,訂單,結構化,ERP,ERP 系統,,,
D21,營運,庫存,結構化,ERP,ERP 系統,,,
D22,營運,會議記錄,非結構化,Word,各自的電腦,,,
D23,營運,客戶郵件,非結構化,Email,各自的信箱,,,
D24,營運,供應商合約,非結構化,PDF,總經理室鐵櫃,,,
